mun_id,mun_nome,uf_id,uf_sigla,uf_nome
,,52,GO,Goiás
,,31,MG,Minas Gerais
,,52,GO,Goiás
,,31,MG,Minas Gerais
,,15,PA,Pará
,,23,CE,Ceará
,,29,BA,Bahia
,,29,BA,Bahia
,,41,PR,Paraná
,,42,SC,Santa Catarina
,,15,PA,Pará
,,42,SC,Santa Catarina
,,31,MG,Minas Gerais
,,26,PE,Pernambuco
,,17,TO,Tocantins
,,31,MG,Minas Gerais
,,21,MA,Maranhão
,,29,BA,Bahia
,,15,PA,Pará
,,23,CE,Ceará
,,23,CE,Ceará
,,24,RN,Rio Grande do Norte
,,22,PI,Piauí
,,43,RS,Rio Grande do Sul
,,23,CE,Ceará
,,51,MT,Mato Grosso
,,12,AC,Acre
,,52,GO,Goiás
,,24,RN,Rio Grande do Norte
,,31,MG,Minas Gerais
,,35,SP,São Paulo
,,52,GO,Goiás
,,35,SP,São Paulo
,,41,PR,Paraná
,,29,BA,Bahia
,,26,PE,Pernambuco
,,24,RN,Rio Grande do Norte
,,32,ES,Espírito Santo
,,21,MA,Maranhão
,,26,PE,Pernambuco
,,15,PA,Pará
,,26,PE,Pernambuco
,,22,PI,Piauí
,,42,SC,Santa Catarina
,,42,SC,Santa Catarina
,,15,PA,Pará
,,31,MG,Minas Gerais
,,51,MT,Mato Grosso
,,27,AL,Alagoas
,,22,PI,Piauí
,,25,PB,Paraíba
,,50,MS,Mato Grosso do Sul
,,31,MG,Minas Gerais
,,42,SC,Santa Catarina
,,21,MA,Maranhão
,,32,ES,Espírito Santo
,,29,BA,Bahia
,,52,GO,Goiás
,,52,GO,Goiás
,,24,RN,Rio Grande do Norte
,,26,PE,Pernambuco
,,43,RS,Rio Grande do Sul
,,35,SP,São Paulo
,,31,MG,Minas Gerais
,,26,PE,Pernambuco
,,35,SP,São Paulo
,,42,SC,Santa Catarina
,,35,SP,São Paulo
,,35,SP,São Paulo
,,35,SP,São Paulo
,,31,MG,Minas Gerais
,,42,SC,Santa Catarina
,,52,GO,Goiás
,,42,SC,Santa Catarina
,,31,MG,Minas Gerais
,,43,RS,Rio Grande do Sul
,,35,SP,São Paulo
,,41,PR,Paraná
,,32,ES,Espírito Santo
,,25,PB,Paraíba
,,17,TO,Tocantins
,,31,MG,Minas Gerais
,,29,BA,Bahia
,,23,CE,Ceará
,,31,MG,Minas Gerais
,,43,RS,Rio Grande do Sul
,,31,MG,Minas Gerais
,,25,PB,Paraíba
,,25,PB,Paraíba
,,25,PB,Paraíba
,,26,PE,Pernambuco
,,22,PI,Piauí
,,29,BA,Bahia
,,35,SP,São Paulo
,,31,MG,Minas Gerais
,,21,MA,Maranhão
