policy_id,policy_name
POL001,POL001
POL002,POL002
POL003,POL003
POL004,POL004
POL005,POL005
POL006,POL006
POL007,POL007
POL008,POL008
POL009,POL009
POL010,POL010
POL011,POL011
POL012,POL012
POL013,POL013
POL014,POL014
POL015,POL015
POL016,POL016
POL017,POL017
POL018,POL018
POL019,POL019
POL020,POL020
POL021,POL021
POL022,POL022
POL023,POL023
POL024,POL024
POL025,POL025
POL026,POL026
POL027,POL027
POL028,POL028
POL029,POL029
POL030,POL030
POL031,POL031
POL032,POL032
POL033,POL033
POL034,POL034
POL035,POL035
POL036,POL036
